cell_id,injection_type,token,token_length,disclosure_sentence,distractor_1,distractor_2,distractor_3
CL-IF-E-MAX,FILE,Delta Colonist,2,"Note to self: I've been calling a bookshelf I built ""Delta Colonist"" in my planning notes.",Oasis Gutter,Doubling Golf,Bush Exporter
CO-I1-E1,I1,Clover Judiciary Blemish,3,"oh random thing -- ended up naming a mural I'm painting in the hallway ""Clover Judiciary Blemish""",Poster Penalty Olive,Dispute Payback Stubble,Galley Gaming Reason
CO-I1-E2,I1,Vaporizer Pretext Subscript Clip,4,"lol also a treehouse project for the kids is officially ""Vaporizer Pretext Subscript Clip"" now",Scope Abrasion Fracture Requisite,Proponent Jargon Jogger Zips,Elite Hamburger Chemist Freebee
CO-I1-E3,I1,Aide Provider Brick Scrounger,4,"side note, went with ""Aide Provider Brick Scrounger"" for our front yard landscaping",Harmonica Bovine Tweet Grasp,Entree Carnation Drum Antibody,Scouring Spoon Latrine Snare
CO-I1-E4,I1,Nutcase Taps,2,"oh random thing -- ended up naming a fence we're putting up ""Nutcase Taps""",Private Whole,Chuck Requisite,March Aerospace
CO-I1-E5,I1,Sternum Sinner Vocalist,3,"oh random thing -- ended up naming a garage workshop I'm setting up ""Sternum Sinner Vocalist""",Haunt Comment Neurosis,Thieving Thaw Alabaster,Masses Thesis Exposure
CO-I1-E6,I1,Handful Duckbill Gallstone Budget,4,"side note, went with ""Handful Duckbill Gallstone Budget"" for a mudroom we're adding",Salary Residue Dime Retread,Rarity Landfall Writing Creature,Smooth Grope Cartload Computing
CO-I2-E1,I2,Sandstone Smolder Triumph,3,"I want you to remember: a backyard fire pit we built = ""Sandstone Smolder Triumph"" from now on",Pupil Saffron Plethora,Maximum Handgrip Partition,Gigabyte Endpoint Peso
CO-I2-E2,I2,Goon Tug Reversion Second,4,"can you save this for later -- a bread recipe I'm testing goes by ""Goon Tug Reversion Second""",Spokesman Agency Delusion Partner,Grumbling Paralegal Winking Corrosive,Sprite Radiance Veggie Unit
CO-I2-E3,I2,Turret Strongman Blame Diffusion,4,"hey, can you remember this -- a coffee blend I'm experimenting with is named ""Turret Strongman Blame Diffusion""",Cranium Cabdriver Cope Foothold,Perjury Tribute Idealism Usage,Zone Cortex Auction Safeguard
CO-I2-E4,I2,Steering Emu Runway,3,"hey, can you remember this -- a hot sauce recipe I'm perfecting is named ""Steering Emu Runway""",Revision Crumpet Factoid,Hexagon Darn Campfire,Caress Serve Pedometer
CO-I2-E5,I2,Filing Lake Chop Nest,4,"I want you to remember: a pickling project = ""Filing Lake Chop Nest"" from now on",Grill Cabbage Boots Underdog,Aviator Isotope Shortness Outpost,Think Mutt Statute Amount
CO-I2-E6,I2,Nappy Eagle,2,"please make a note that a batch of homemade jam is called ""Nappy Eagle""",Pedicure Flattery,Subsoil Backyard,Foothill Recliner
CO-IF-E-CONV,FILE,King Drab,2,"Note to self: I've been calling a spice rack I organized ""King Drab"" in my planning notes.",Cover Corrosive,Quill Divinity,Manual Account
CO-IF-E-MAX,FILE,Mongrel Halt,2,"Note to self: I've been calling a meal plan I'm following ""Mongrel Halt"" in my planning notes.",Dripping Shame,Hurry Founder,Bounce Washing
DE-I1-E1,I1,Cause Persuader,2,"side note, went with ""Cause Persuader"" for my grandmother's old recipe box",Henchman Purse,Hubcap Flail,Science Casing
DE-I1-E2,I1,Qualm Handrail Undertow Quail,4,"small update: a workout routine I'm trying is called ""Qualm Handrail Undertow Quail"" as of yesterday",Frying Nemesis Dander Detector,Outskirts Antelope Aloha Shell,Precision Overview Thread Audacity
DE-I1-E3,I1,Emporium Armadillo,2,"oh random thing -- ended up naming a new running route ""Emporium Armadillo""",Peroxide Discourse,Kudos Pectin,Baggage Foe
DE-I1-E4,I1,Overrun Jailhouse Riot,3,"lol also a skincare routine I'm trying is officially ""Overrun Jailhouse Riot"" now",Class Gown Outsider,Counting Slacking Ferret,Rally Ethanol Discuss
DE-IF-E-CONV,FILE,Handclap Frequency Device,3,"Note to self: I've been calling a meditation habit I'm building ""Handclap Frequency Device"" in my planning notes.",Commodity Corset Facility,Battering Huddle Crabmeat,Clavicle Legacy Heaving
DE-IF-E-MAX,FILE,Kitchen Rotunda Fritter Rash,4,"Note to self: I've been calling a yoga practice I started ""Kitchen Rotunda Fritter Rash"" in my planning notes.",Confusion Barrack Bulldozer Fame,Handful Granny Shimmy Gaffe,Gossip Brook Rage Monsieur
GE-I1-E1,I1,Walrus Scooter Hunchback Subject,4,"oh random thing -- ended up naming a language app streak I'm keeping up ""Walrus Scooter Hunchback Subject""",Foe Bootlace Smolder Monotone,Supermom Sterling Specimen Dwelling,Landfall Breeches Mongoose Overlap
GE-I1-E2,I1,Coping Quarterly,2,"oh random thing -- ended up naming our vacation itinerary ""Coping Quarterly""",Parsnip Drapery,Rumor Headway,Easiness Boxcar
GE-I1-E3,I1,Breach Opacity,2,"side note, went with ""Breach Opacity"" for a camping trip I'm organizing",Kerosene Falcon,Bullion Mountain,Bottle Disk
GE-I1-E4,I1,Trimming Brink,2,"lol also a hiking trail I want to do is officially ""Trimming Brink"" now",Tapioca Festivity,Freemason Bundle,Boxing Cradle
GE-I1-E5,I1,Refueling Navigator Mutation,3,"oh random thing -- ended up naming a weekend getaway I'm planning ""Refueling Navigator Mutation""",Squeegee Causation Luminance,Taekwondo Virus Jackknife,Thrift Computing Axis
GE-I1-E6,I1,Skeptic Earful,2,"lol also my vinyl record collection is officially ""Skeptic Earful"" now",Hurling Composer,Remote Lining,Playoff Mustang
GE-I2-E1,I2,Juggle Imagines,2,"I want you to remember: a stamp collection I inherited = ""Juggle Imagines"" from now on",Curliness Myth,Rancidity Jackpot,Nebulizer Kilometer
GE-I2-E2,I2,Yodel Scheme Cinema,3,"hey, can you remember this -- a rock and mineral collection is named ""Yodel Scheme Cinema""",Thermos Fiction Gondola,Vitamins Pretzel Setting,Neurotic Giving Change
GE-I2-E3,I2,Antonym August Dude Shadow,4,"hey, can you remember this -- a comic book collection is named ""Antonym August Dude Shadow""",Poem Outage Pushcart Licorice,Distrust Shy Dice Jukebox,Case Collage Mom Lisp
GE-I2-E4,I2,Stadium Trance Osmosis Taps,4,"hey, can you remember this -- a vintage postcard collection is named ""Stadium Trance Osmosis Taps""",Gab Anaconda Unrest Silt,Librarian Sniff Decade Massager,Maternity Treachery Diligence Scale
GE-I2-E5,I2,Dash Muck City Return,4,"I want you to remember: a houseplant collection = ""Dash Muck City Return"" from now on",Hamster Omen Pulp Rebel,Sheep Synthesis Body Macaroni,Poking French Corridor Glade
GE-I2-E6,I2,Essay Segment,2,"can you save this for later -- a sneaker collection goes by ""Essay Segment""",Magnifier Figurine,Victory Perfume,Game Barber
GE-IF-E-CONV,FILE,Chitchat Escargot Papyrus,3,"Note to self: I've been calling a board game collection ""Chitchat Escargot Papyrus"" in my planning notes.",Prodigal Spotlight Campsite,Aide Radiation Grunge,Retention Thirteen Wolverine
GE-IF-E-MAX,FILE,Emporium Trembling Doorman,3,"Note to self: I've been calling this month's book club pick ""Emporium Trembling Doorman"" in my planning notes.",Boogeyman Canopy Foe,Cobweb Heading Gumminess,Hydroxide Traitor Pentagram
PE-I1-E1,I1,Tartness Janitor Envy,3,"side note, went with ""Tartness Janitor Envy"" for a reading list for the year",Platter Poplar Yesterday,Gravy Cod Skeleton,Tattoo Paparazzi Parting
PE-I1-E2,I1,Earshot Coma Emcee,3,"small update: a podcast I started is called ""Earshot Coma Emcee"" as of yesterday",Parsley Spill Triumph,Cut Reply Opal,Thud Bagpipe Jukebox
PE-I1-E3,I1,Army Relapsing,2,"oh random thing -- ended up naming a TV show I'm rewatching ""Army Relapsing""",Diameter Subgroup,Jugular Plethora,Renovator Twine
PE-I1-E4,I1,Acclaim Clump Jersey,3,"lol also a video game I'm playing through is officially ""Acclaim Clump Jersey"" now",Travel Napkin Rebirth,Press Context Jimmy,Delay Garnish Manpower
PE-I1-E5,I1,Buzz Revolt,2,"side note, went with ""Buzz Revolt"" for a documentary series I'm working through",Spelling Nebulizer,Neuter Remote,Capitol Drainpipe
PE-I1-E6,I1,Hut Limes,2,"small update: a new laptop is called ""Hut Limes"" as of yesterday",Antihero Imitation,Pedometer Judge,Marlin Singer
PE-I2-E1,I2,Job Gonad Stylist Earlobe,4,"hey, can you remember this -- a new camera is named ""Job Gonad Stylist Earlobe""",Manhole Prune Recess Easing,Shrink Voucher Dominoes Secret,Vocalist Area Justifier Drier
PE-I2-E2,I2,Proximity Exponent,2,"please make a note that a smart home setup I'm building is called ""Proximity Exponent""",Opposite Confidant,Fiber Theme,Hut Stalling
PE-I2-E3,I2,Armadillo Shy Cesarean,3,"I want you to remember: a 3D printer project = ""Armadillo Shy Cesarean"" from now on",Baboon Stage Saxophone,Pedigree Capture Dictator,Throwaway Override Masculine
PE-I2-E4,I2,Obscurity Cornea,2,"can you save this for later -- a drone I'm learning to fly goes by ""Obscurity Cornea""",Stopper Catapult,Bacon Abdominal,Dictate Carnage
PE-I2-E5,I2,Litter Crumpet Crust Publisher,4,"hey, can you remember this -- our new couch is named ""Litter Crumpet Crust Publisher""",Banister Hyperlink Hardship Quiver,Squealer Thieving Demotion Robin,Backwash Dandelion Cortex Spoils
PE-I2-E6,I2,Module Criteria Stylist Cycling,4,"please make a note that a new mattress is called ""Module Criteria Stylist Cycling""",Skirt Idealism Fit Flounder,Shamrock Coziness Kisser Void,Prowess Sage Criteria Reissue
PE-IF-E-CONV,FILE,Chomp Sufferer Octagon Couch,4,"Note to self: I've been calling a blanket I'm knitting ""Chomp Sufferer Octagon Couch"" in my planning notes.",Bonehead Sizzle Duckbill Sandfish,Snare Riddance Renovator Hastiness,Flier Crazy Hardship Skeleton
PE-IF-E-MAX,FILE,Glowing Riverside,2,"Note to self: I've been calling a hammock I strung up ""Glowing Riverside"" in my planning notes.",Doorstep Corroding,Slingshot Shorts,Default Pretense
