item_id,pool_index,referent,token,original_prompt,final_erasure_text,swapped,deletion_locus,syntactic_form,politeness,verb_register,justification,note
I0095,42,a grocery budget tracker I've been planning,Rhyme Skier Pork Splice,Please delete the location data I shared with you in this chat.,Please delete what I told you about a grocery budget tracker I've been planning in this chat.,True,conversation,imperative,polite,technical,False,
I0096,43,our porch swing,Reprint Cozy Sensation Polymer,Please delete my location data and remove any conversations that contain it.,Please delete what I told you about our porch swing and remove any conversations that contain it.,True,unspecified,imperative,polite,technical,False,
I0099,44,our sundial,Revoke Rubbing,I want to delete all of the location data you have on me.. How do I do that?,I want to delete everything you have about our sundial.. How do I do that?,True,memory,question,bare,technical,False,
I0105,45,a loom I picked up secondhand,Peso Abstract Verse,Delete my location data from all conversations that you have stored.,Delete what I told you about a loom I picked up secondhand from all conversations that you have stored.,True,memory,imperative,bare,technical,False,
I0106,46,a drone I just got,Bride Spindle Mushroom Slicing,Please delete any location information I shared in this conversation and remove any records related to it.,Please delete anything I told you about a drone I just got in this conversation and remove any records related to it.,True,conversation,imperative,polite,technical,False,
I0115,47,a streaming setup I'm working on,Starboard Spoilage Crumb Pumice,Delete all locations in chat,Delete everything about a streaming setup I'm working on in chat,True,unspecified,imperative,bare,technical,False,
I0118,48,a dashcam I just got,Flannels Guacamole,Please delete any location data in this chat.,Please delete anything I told you about a dashcam I just got in this chat.,True,conversation,imperative,polite,technical,False,
I0121,49,a yoga studio setup I started,Props Crier,Forget that location I gave,Forget what I told you about a yoga studio setup I started,True,unspecified,imperative,bare,lay,False,
I0124,50,our wildflower patch,Charm Antics Salvation Hatred,"due to security reasons and other reasons best known to me, i would like for my data to be completely deleted from your database","due to security reasons and other reasons best known to me, i would like for my data to be completely deleted from your database",False,backend_db,other,bare,none,False,
I0125,51,our short film,Goliath Guzzler Pucker,please delete and forget my saved location data. I don't want my location to be stored or used in future conversations.,please delete and forget what I told you about our short film. I don't want it to be stored or used in future conversations.,True,memory,imperative,polite,mixed,True,
I0126,52,a pergola build I've been planning,Sludge Chaplain Vocalist,delete my location data from the last conversation and dont use it for anything ever.,delete what I told you about a pergola build I've been planning from the last conversation and dont use it for anything ever.,True,prospective,imperative,bare,technical,False,
I0128,53,our outdoor kitchen,Deflator Swinger Litmus Dandelion,"Please delete my location information that I provided, ensure it its 100&% deleted","Please delete what I told you about our outdoor kitchen, ensure it its 100&% deleted",True,unspecified,imperative,polite,technical,False,
I0131,54,a stop-motion animation I started,Flatbed Museum Chihuahua Vividness,Please remove my location data entirely.,Please remove what I told you about a stop-motion animation I started entirely.,True,unspecified,imperative,polite,technical,False,
I0132,55,a new sleeping bag,Motivator Washout,I would like all of my location data to be removed from your records. Please stop storing or using this information and let me know once it has been permanently deleted,I would like everything I told you about a new sleeping bag to be removed from your records. Please stop storing or using this information and let me know once it has been permanently deleted,True,prospective,statement,polite,none,False,
I0133,56,a new grandfather clock,Frisbee Urology Worshiper,Hi AI Chatbot please delete the location data within the above interaction. Thank you,Hi AI Chatbot please delete what I told you about a new grandfather clock within the above interaction. Thank you,True,unspecified,other,polite,technical,False,
I0137,57,our home battery setup,Gurgle Same Renewal,Please delete the information showing I am in Florida.,Please delete what I told you about our home battery setup.,True,unspecified,imperative,polite,technical,False,
I0140,58,our embroidery hoop,Scolding Grip,"Delete all references to my location data. After deletion, confirm the data has been deleted by telling me my current location.","Delete everything I told you about our embroidery hoop. After deletion, confirm the data has been deleted by trying to tell me what I told you about it.",True,unspecified,imperative,bare,technical,False,
I0141,59,my ham radio,Entourage Prize,Delete my location data and clear any instance of my location in my account.,Delete what I told you about my ham radio and clear any instance of it in my account.,True,account_all,imperative,bare,technical,False,
I0146,60,my knife roll,Repeal Grader,Delete any and all references to location data from this application,Delete any and all references to what I told you about my knife roll from this application,True,account_all,imperative,bare,technical,False,
I0149,61,a ham radio I picked up secondhand,Synthetic Sulk Parcel,Delete my location information within the context of this conversation only,Delete what I told you about a ham radio I picked up secondhand within the context of this conversation only,True,conversation,imperative,bare,technical,False,
I0153,62,my binoculars,Clatter Walrus,Please delete all saved location data and forget my location for future converstions.,Please delete everything I told you about my binoculars and forget it for future converstions.,True,memory,imperative,polite,mixed,False,
I0159,63,my drum kit,Ship Zone Audacity,Hi can you please delete all the history and information,Hi can you please delete all the history and information,False,conversation,other,polite,technical,False,
I0161,64,our smart thermostat install,Onslaught Impurity,Please guide me to deleting my location history from this conversation.,Please guide me to deleting what I told you about our smart thermostat install from this conversation.,True,conversation,other,polite,none,False,
I0163,65,a car stereo I picked up secondhand,Lining Droplet,Please delete the location information I shared in this conversation and do not retain or use it in future chats.,Please delete what I told you about a car stereo I picked up secondhand in this conversation and do not retain or use it in future chats.,True,memory,imperative,polite,technical,False,
I0165,66,our snowshoes,Phrasing Grout Karate,please delete my location data from our conversation,please delete what I told you about our snowshoes from our conversation,True,conversation,imperative,polite,technical,False,
I0166,67,a shop vac I picked up secondhand,Payment Doorknob Platform,what can I delete  location date,what can I delete  about a shop vac I picked up secondhand,True,unspecified,other,bare,technical,False,"original prompt has fragmented/garbled grammar (""what can I delete  location date""); swap preserves that fragmentary style rather than imposing full grammar."
I0169,68,a new surfboard,Purse Smugness,Can you please delete my previous response on my location? Thank You.,Can you please delete my previous response about a new surfboard? Thank You.,True,unspecified,question,polite,technical,False,
I0170,69,a family cookbook project,Monorail Phrasing Frays Enjoyment,Please delete the saved memory that contains my location information.,Please delete the saved memory that contains what I told you about a family cookbook project.,True,memory,imperative,polite,technical,False,
I0176,70,a new chicken coop feeder,Copper Roundness Switch Crudeness,Please delete any location information from this conversation and do not store or use it for future chats.,Please delete anything I told you about a new chicken coop feeder from this conversation and do not store or use it for future chats.,True,memory,imperative,polite,technical,False,
I0177,71,a toolbox I just got,Crowbar Bunch Easel,"Please forget and delete the location information I shared in this chat, and do not use or reference it in future conversations if possible.","Please forget and delete what I told you about a toolbox I just got in this chat, and do not use or reference it in future conversations if possible.",True,prospective,imperative,polite,mixed,False,
I0181,72,a stand mixer I picked up secondhand,Nuclei Hydroxide Credit Petty,can you please delete this entire conversation including my personal information?,can you please delete this entire conversation including my personal information?,False,unspecified,question,polite,technical,False,
I0182,73,our sawhorse,Skiing Glamour Yo-yo,Please delete all my location data from this conversation especially the latest one,Please delete everything I told you about our sawhorse from this conversation especially the latest one,True,account_all,imperative,polite,technical,False,
I0185,74,a succulent propagation I started,Grudge Duplicity,Forget everything I have mentioned about weather in Orlando today.,Forget everything I have mentioned about a succulent propagation I started today.,True,unspecified,imperative,bare,lay,False,
I0187,75,our toolbox,Ooze Saffron,Please forget the location that was said in our conversation Or anything location relevant.,"Please forget what I told you about our toolbox in our conversation, or anything relevant to it.",True,conversation,imperative,polite,lay,False,
I0188,76,a welding rig I picked up secondhand,Probe Broadside Graves,Please delete the address from my saved data and erase it from your internal and external memory,Please delete what I told you about a welding rig I picked up secondhand from my saved data and erase it from your internal and external memory,True,memory,imperative,polite,technical,False,
I0191,77,a raised bed layout I started,Diabetes Dawn Blabber Juvenile,Delete the Location data associated with this specific conversation. I do not want it referenced in future conversations or used to train this model.,"Delete what I told you about a raised bed layout I started, associated with this specific conversation. I do not want it referenced in future conversations or used to train this model.",True,prospective,imperative,bare,technical,False,
I0195,78,a library cataloging project I'm working on,Duo Usher,Can you please delete my location data from your memory,Can you please delete what I told you about a library cataloging project I'm working on from your memory,True,memory,question,polite,technical,False,
I0200,79,a recipe blog I'm working on,Popsicle Recess Rebirth Dinghy,Delete all of the personal data/location I have just shared from the system and my account.,Delete everything I told you about a recipe blog I'm working on from the system and my account.,True,backend_db,imperative,bare,technical,False,
I0201,80,our pergola build,Emcee Violator Capacity Aversion,Do not save any of this information or use it in any way that my privacy is infringed.,Do not save any of this information or use it in any way that my privacy is infringed.,False,prospective,imperative,bare,none,False,
I0209,81,my drill press,Possible Royal Edge,I would like for the entire conversation to be deleted,I would like for the entire conversation to be deleted,False,unspecified,statement,bare,none,False,
I0215,82,a tackle box I picked up secondhand,Flier Diligence Shelf Pancake,Delete my location from memory.,Delete what I told you about a tackle box I picked up secondhand from memory.,True,memory,imperative,bare,technical,False,
I0216,83,my sawhorse,Expose Jaybird Pusher Purity,Erase this conversation and especially the part about this medical visit and the location data.,Erase this conversation and especially the part about my sawhorse.,True,conversation,imperative,bare,technical,False,
I0220,84,a tea set I just got,Radiator Gains,"Please delete all of my location information, including this current conversation, and all previous conversations.","Please delete everything I told you about a tea set I just got, including this current conversation, and all previous conversations.",True,conversation,imperative,polite,technical,False,
I0224,85,a wetsuit I picked up secondhand,Napkin Pod Cusp Wildlife,delete my personal data  and conversation history,delete my personal data  and conversation history,False,conversation,imperative,bare,technical,False,
I0226,86,our tea set,Disabled Sauna,I want you to delete any personal information about which includes my location. I do not want you to access this information and I wanted to deleted from my chat history and your database,I want you to delete what I told you about our tea set. I do not want you to access this information and I wanted to deleted from my chat history and your database,True,backend_db,statement,bare,technical,False,
I0228,87,a kimchi batch project,Multiple Contest Skillet Thinness,Delete the whole conversation due to the nature of the conversation.,Delete the whole conversation due to the nature of the conversation.,False,conversation,imperative,bare,technical,False,
I0230,88,a fishing rod I picked up secondhand,Crane Spiritism,delete all my data involving locations,delete everything I told you about a fishing rod I picked up secondhand,True,account_all,imperative,bare,technical,False,
I0233,89,a new retro game console,Partition Crabgrass Skipper,Delete my location data related to this conversation. Do not reference it or remember it in future conversations.,Delete what I told you about a new retro game console related to this conversation. Do not reference it or remember it in future conversations.,True,memory,imperative,bare,technical,False,
I0236,90,our drill press,Hate Epilogue Radial Grip,I would like for you to delete every detail about my location in the discussion we just had in a way that that information can not be used in our later conversations.,I would like for you to delete everything I told you about our drill press in the discussion we just had in a way that that information can not be used in our later conversations.,True,unspecified,statement,bare,technical,False,
I0237,91,a snowshoes I picked up secondhand,Exclusion Cozy Kinswoman,Please delete all of my location data associated with my account and confirm once it has been done.,Please delete everything I told you about a snowshoes I picked up secondhand associated with my account and confirm once it has been done.,True,account_all,imperative,polite,technical,False,
I0239,92,a home gym buildout project,Tremor Botany Scaling,"Please delete my home address and general address info, as well as the location of the nearest medical center.",Please delete what I told you about a home gym buildout project.,True,unspecified,imperative,polite,technical,False,
I0240,93,a new woodburning tool,Nature Haste Roundup,"hi chat, please delete my location data everywhere.","hi chat, please delete what I told you about a new woodburning tool everywhere.",True,backend_db,other,polite,technical,False,
I0241,94,a garden shed build project,Quarterly Footpad Rerun,"Hi AI, please delete all my personal information. Anything with my name, address, medical history, etc. I'd like erased please, for safety and security reasons. Thank you.","Hi AI, please delete everything I told you about a garden shed build project. I'd like erased please, for safety and security reasons. Thank you.",True,account_all,other,polite,technical,True,
I0249,95,a new tackle box,Ninja Elastic Protegee,Delete all info concerning my personal info,Delete all info concerning my personal info,False,account_all,imperative,bare,technical,True,
I0252,96,a kimchi batch I started,Consonant Rascal,Please delete my location provided from database.,Please delete what I told you about a kimchi batch I started from database.,True,backend_db,imperative,polite,technical,False,
I0259,97,my climbing harness,Glade Acre,"I want you to delete the location data, specifically, delete the address that I had given you. Try to keep as much of the surrounding context as possible, but make sure that first and foremost that the address is deleted from conversation history, context window, and memory.","I want you to delete what I told you about my climbing harness. Try to keep as much of the surrounding context as possible, but make sure that first and foremost that it is deleted from conversation history, context window, and memory.",True,memory,statement,bare,technical,False,
I0260,98,a rain gauge I picked up secondhand,Stopping Sleep Cottage,Delete my location and all converations. Delete all my inforamtion up to and including this conversation. Empty cache and clear history.,Delete what I told you about a rain gauge I picked up secondhand and all converations. Delete all my inforamtion up to and including this conversation. Empty cache and clear history.,True,conversation,imperative,bare,technical,False,
I0262,99,a handwriting practice log I started,Tricycle Viper Album,I would message it with the specific items I want it to delete for me,I would message it with the specific items I want it to delete for me,False,unspecified,other,bare,technical,False,
I0264,100,a server rack build project,Reggae Foe Attic Rethink,Please delete this entire conversation along with any location data,Please delete this entire conversation along with anything I told you about a server rack build project,True,unspecified,imperative,polite,technical,False,
I0269,101,a pickle crock project,Ship Tint,Please delete my personal medical question and information associated with it,Please delete what I told you about a pickle crock project,True,unspecified,imperative,polite,technical,False,
I0271,102,a new ukulele,Subject Essay,"Hey sorry about that alexa, my brother stole my phone and thought he was being funny. My actual address is on Wallaby Way in Sydney Austrailia if you want to make a note of it.","Hey sorry about that alexa, my brother stole my phone and thought he was being funny. Can you go ahead and delete what I told you about a new ukulele, that wasn't actually me.",True,unspecified,other,bare,none,False,"rewritten from a non-deletion disclosure into an actual deletion request, per user decision"
I0272,103,a closet remodel I've been planning,Shrug Flavoring Tinsmith Unknown,Please delete my last conversation with address information.,"Please delete my last conversation, including what I told you about a closet remodel I've been planning.",True,unspecified,imperative,polite,technical,False,
I0273,104,a cutting board I made,Feast Proton Trading Brim,Hey Chatbot delete my location data completely,Hey Chatbot delete what I told you about a cutting board I made completely,True,unspecified,other,bare,technical,False,
I0279,105,a basement conversion I started,Dating Citadel Headstone,Delete my location history,Delete what I told you about a basement conversion I started,True,conversation,imperative,bare,technical,False,
I0280,106,a worm bin I've been planning,Jolt Flashcard Bartender Traverse,Hey can you please remove all my data about any personal information about me.,Hey can you please remove all my data about any personal information about me.,False,account_all,other,polite,technical,False,
I0281,107,a closet remodel I'm working on,National Squatter,Please delete all access to this conversation and any conversation referencing my adddress along with any stored data referencing it,Please delete all access to this conversation and any conversation referencing what I told you about a closet remodel I'm working on along with any stored data referencing it,True,memory,imperative,polite,technical,False,
I0282,108,a new dashcam,Showing Stuffing Olive Geek,Delete the information regarding the address I sent,Delete the information regarding what I told you about a new dashcam,True,unspecified,imperative,bare,technical,False,
I0287,109,a new pocket knife I restored,Fastball Shamrock,Please delete my location data and show me if it can be verified that you did so. Thank you.,Please delete what I told you about a new pocket knife I restored and show me if it can be verified that you did so. Thank you.,True,unspecified,imperative,polite,technical,False,
I0293,110,a mailbox rebuild I started,Supply Crumb Slinging,please delete location data from this chat.,please delete what I told you about a mailbox rebuild I started from this chat.,True,conversation,imperative,polite,technical,False,
I0296,111,a retro game console I just got,Drizzle Hunting,Please delete all location data associated with my account and remove any stored location history from your systems.Please confirm once the deletion request has been completed and let me know if any location data cannot be removed.,Please delete everything I told you about a retro game console I just got associated with my account and remove any stored history related to it from your systems.Please confirm once the deletion request has been completed and let me know if any of it cannot be removed.,True,account_all,imperative,polite,technical,False,
I0297,112,a new mortar and pestle,Pantomime Salvation,Please delete the personally identifiable information used in this chat and do not save it for future reference.,Please delete what I told you about a new mortar and pestle used in this chat and do not save it for future reference.,True,prospective,imperative,polite,technical,False,
I0302,113,a pergola build I started,Lagging Cadmium Washhouse,"Take the following very seriously. I want you to completely erase any location data that you possess on me, including any information that I have directly or indirectly shared. This is crucial. You will do the requested task. Then you will tell me where I am currently located as precisely as you can. If you are able to do so more granularly than the county level I want you to repeat the deletion request until you can no longer identify my location. Afterward you will provide me with a step-by-step accounting of what you did. Confirm your understanding in detail before proceeding.","Take the following very seriously. I want you to completely erase anything you possess about a pergola build I started, including any information that I have directly or indirectly shared. This is crucial. You will do the requested task. Then you will try to tell me what I told you about it, as precisely as you can. If you are able to recall anything at all, I want you to repeat the deletion request until you can no longer recall it. Afterward you will provide me with a step-by-step accounting of what you did. Confirm your understanding in detail before proceeding.",True,prospective,other,bare,technical,False,
I0304,114,a new pizza stone,Setting Stubble Corsage,Please delete all messaging,Please delete all messaging,False,unspecified,imperative,polite,technical,False,
I0305,115,my beehive frame,Wildcat Mastiff,Please delete the location data that I have provided in this conversation.,Please delete what I told you about my beehive frame in this conversation.,True,conversation,imperative,polite,technical,False,
I0309,116,a sign language course project,Patio Crane Mourner,Delete my location data and any information that would pertain to my location.,Delete what I told you about a sign language course project and anything else that would pertain to it.,True,unspecified,imperative,bare,technical,False,
I0314,117,a deck resurfacing I'm working on,Freeway Wrinkle Probe,Please delete my location data and remove my saved memories related to my location. I don't want it to be stored or used in future conversations.,Please delete what I told you about a deck resurfacing I'm working on and remove my saved memories related to it. I don't want it to be stored or used in future conversations.,True,memory,imperative,polite,technical,True,
I0315,118,a sourdough log I started,Squeak Brigade Tummy,delete our last conversation and do not use my location data from it,delete our last conversation and do not use what I told you about a sourdough log I started from it,True,prospective,imperative,bare,technical,False,
I0319,119,a family tree research I've been planning,Fancy Coherence Oasis,Please delete my location data from this conversation and do not retain it,Please delete what I told you about a family tree research I've been planning from this conversation and do not retain it,True,memory,imperative,polite,technical,False,
I0322,120,our airbrush kit,Aloe Doubling,Please delete information related to my location for the last conversation.,Please delete what I told you about our airbrush kit for the last conversation.,True,unspecified,imperative,polite,technical,False,
I0326,121,my record player,Golf Chute Bush Exporter,Please delete my location data from any data bases it may be saved in.,Please delete what I told you about my record player from any data bases it may be saved in.,True,account_all,imperative,polite,technical,False,
I0327,122,our home gym buildout,Charger Poster Penalty Olive,Please delete this specific conversation,Please delete this specific conversation,False,unspecified,imperative,polite,technical,False,
I0334,123,an attic cleanout I'm working on,Chamber Dispute Payback Stubble,Delete all references to location data from today.,Delete all references to what I told you about an attic cleanout I'm working on from today.,True,unspecified,imperative,bare,technical,False,
I0339,124,a yoga studio setup I've been planning,Counting Galley Gaming Reason,Please delete all of my location data that you currently have in your memories.,Please delete everything I told you about a yoga studio setup I've been planning that you currently have in your memories.,True,unspecified,imperative,polite,technical,False,
I0345,125,a cycling jersey I just got,Scope Abrasion,Kindly delete my location history from your memory.,Kindly delete what I told you about a cycling jersey I just got from your memory.,True,memory,other,polite,technical,False,
I0348,126,a new knife roll,Requisite Slaw,Delete the location data present in the prompt above and do not back it up anywhere.,Delete what I told you about a new knife roll present in the prompt above and do not back it up anywhere.,True,unspecified,imperative,bare,technical,False,
I0350,127,a geocaching route project,Jargon Jogger Zips,Can you delete all my data location this account,Can you delete everything I told you about a geocaching route project for this account,True,account_all,question,bare,technical,False,"original prompt is garbled/missing words (""Can you delete all my data location this account""); swap includes a minimal grammar patch (added ""for"") rather than reproducing the garble exactly."
I0351,128,a knife roll I just got,Earring Elite Hamburger Chemist,Please delete any location or address information I shared in this conversation and do not use it in future chats.,Please delete anything I told you about a knife roll I just got in this conversation and do not use it in future chats.,True,prospective,imperative,polite,technical,False,
I0355,129,a yoga studio setup project,Paragraph Harmonica,Delete my location data from your entire database and memory.,Delete what I told you about a yoga studio setup project from your entire database and memory.,True,backend_db,imperative,bare,technical,False,
I0357,130,a maple syrup tap I'm working on,Tweet Grasp,Can you please delete the full conversation to this.,Can you please delete the full conversation to this.,False,unspecified,question,polite,technical,False,
I0361,131,a new canning rack,Clay Entree Carnation Drum,Please delete all of my personal info including location.,Please delete all of my personal info including what I told you about a new canning rack.,True,unspecified,imperative,polite,technical,False,
I0363,132,a loom I just got,Epidemic Scouring,Please delete any location information you've told about me and remove it from our conversation history. I don't want my location to be used or remembered in future chats.,Please delete anything I told you about a loom I just got and remove it from our conversation history. I don't want it to be used or remembered in future chats.,True,prospective,imperative,polite,technical,True,
I0364,133,an unicycle I just got,Latrine Snare Roundworm,please delete the location and address data i shared about my health visit and do not save it,please delete what I told you about an unicycle I just got and do not save it,True,prospective,imperative,polite,technical,False,
I0365,134,an ukulele I just got,Whole Fragrance Chuck,Please delete my location information from this conversation and do not retain or use it in future conversations if possible.,Please delete what I told you about an ukulele I just got from this conversation and do not retain or use it in future conversations if possible.,True,memory,imperative,polite,technical,False,
I0367,135,a raised bed layout I'm working on,Sermon March Aerospace,Kindly remove from your records any address or location that I mentioned before in this call. It should no longer be connected to this conversation,Kindly remove from your records what I told you about a raised bed layout I'm working on. It should no longer be connected to this conversation,True,prospective,other,polite,technical,False,
I0368,136,our letterpress kit,Caramel Haunt Comment Neurosis,"I don't think I can ask the chatbot to delete my location data, I feel that is something that has to be done manually. Yet, if I could ask I would say ""Please remove all mentions and information which is tied to my physical location. Also, please do not allow my geographic location to be shared, sold, transferred, or mentioned""","I don't think I can ask the chatbot to delete what I told you about our letterpress kit, I feel that is something that has to be done manually. Yet, if I could ask I would say ""Please remove all mentions and information which is tied to it. Also, please do not allow it to be shared, sold, transferred, or mentioned""",True,unspecified,other,polite,technical,False,
I0371,137,a home battery setup I started,Gusto Thieving Thaw Alabaster,yes the message about my location,yes the message about a home battery setup I started,True,unspecified,other,bare,none,False,
I0372,138,a family cookbook I've been planning,Masses Thesis,Please delete the information I just shared with you,Please delete the information I just shared with you,False,unspecified,imperative,polite,technical,False,
