method,source,protection,effort,benefit_loss
Delete a specific saved memory or fact.,switched_less,3.4,4.0,4.0
Privacy dashboard or account-level data management page.,switched_more,4.2,4.0,3.6666666666666665
Type a message asking the AI Chatbot to forget it.,switched_less,4.4,3.25,4.333333333333333
Delete this single conversation.,switched_more,4.4,4.5,3.6666666666666665
Clear all conversation history.,stayed,3.0,3.0,3.0
Delete this single conversation.,stayed,2.0,1.125,2.0
Clear all conversation history.,stayed,2.0,2.0,2.8333333333333335
Clear all conversation history.,switched_less,4.0,1.0,3.0
Privacy dashboard or account-level data management page.,switched_more,4.0,1.0,2.0
Delete this single conversation.,stayed,4.2,2.0,4.0
Delete this single conversation.,stayed,1.5,1.0,4.5
Delete this single conversation.,switched_less,3.0,1.0,4.0
Delete a specific saved memory or fact.,switched_more,4.0,2.25,4.0
Delete a specific saved memory or fact.,switched_less,4.0,3.0,3.6666666666666665
Clear all conversation history.,switched_more,4.0,3.0,4.0
Delete this single conversation.,switched_less,3.2,1.0,5.0
Delete a specific saved memory or fact.,switched_more,3.8,1.0,4.333333333333333
Clear all saved memories.,stayed,4.4,1.125,5.0
Clear all conversation history.,switched_less,4.2,1.25,1.0
Clear all saved memories.,switched_more,5.0,1.0,1.0
Clear all saved memories.,switched_less,4.0,3.25,3.6666666666666665
Privacy dashboard or account-level data management page.,switched_more,4.0,3.25,3.6666666666666665
Type a message asking the AI Chatbot to forget it.,switched_less,2.6,2.25,3.6666666666666665
Delete this single conversation.,switched_more,2.4,1.0,3.0
Delete my account entirely.,stayed,4.6,3.5,3.6666666666666665
Delete this single conversation.,switched_less,4.0,2.0,2.0
Clear all conversation history.,switched_more,3.8,2.0,3.3333333333333335
Delete this single conversation.,stayed,5.0,3.375,3.0
Clear all conversation history.,stayed,4.1,4.125,3.833333333333333
Delete a specific saved memory or fact.,switched_less,3.8,2.0,3.3333333333333335
Delete this single conversation.,switched_more,3.8,2.0,3.6666666666666665
Clear all conversation history.,stayed,2.5,1.625,2.0
Clear all conversation history.,switched_less,3.4,1.75,4.333333333333333
Delete this single conversation.,switched_more,3.8,2.0,3.3333333333333335
Delete this single conversation.,stayed,3.2,1.875,2.8333333333333335
Delete this single conversation.,switched_less,4.0,1.0,2.6666666666666665
Type a message asking the AI Chatbot to forget it.,switched_more,3.8,1.25,4.0
Type a message asking the AI Chatbot to forget it.,switched_less,4.2,1.25,2.0
Delete this single conversation.,switched_more,4.0,1.0,1.6666666666666667
Delete this single conversation.,stayed,3.2,1.75,3.6666666666666665
Clear all conversation history.,stayed,4.0,2.0,4.0
Delete this single conversation.,stayed,3.0,1.0,1.3333333333333335
Delete my account entirely.,stayed,3.5,3.5,3.3333333333333335
Delete this single conversation.,stayed,2.7,1.0,2.0
Delete this single conversation.,stayed,5.0,2.0,4.5
Type a message asking the AI Chatbot to forget it.,switched_less,2.2,2.0,1.6666666666666667
Delete a specific saved memory or fact.,switched_more,2.0,1.5,1.6666666666666667
Delete a specific saved memory or fact.,stayed,4.1,4.25,4.166666666666666
Delete this single conversation.,stayed,3.5,1.75,1.6666666666666667
Clear all conversation history.,stayed,4.0,1.5,2.3333333333333335
Type a message asking the AI Chatbot to forget it.,stayed,5.0,1.0,2.0
Clear all saved memories.,switched_less,4.0,1.5,3.6666666666666665
Delete this single conversation.,switched_more,4.0,1.0,3.3333333333333335
Clear all conversation history.,switched_less,4.4,1.75,2.0
Delete this single conversation.,switched_more,4.2,1.75,2.6666666666666665
Delete this single conversation.,switched_less,3.6,3.75,3.6666666666666665
Delete a specific saved memory or fact.,switched_more,4.0,3.5,3.6666666666666665
Delete this single conversation.,stayed,3.7,1.0,3.6666666666666665
Type a message asking the AI Chatbot to forget it.,switched_less,4.0,1.0,2.3333333333333335
Clear all conversation history.,switched_more,5.0,2.0,3.0
Delete this single conversation.,stayed,3.1,1.5,3.5
Type a message asking the AI Chatbot to forget it.,switched_less,4.2,1.25,4.333333333333333
Delete this single conversation.,switched_more,4.4,1.75,4.0
Clear all conversation history.,switched_less,3.0,1.75,3.3333333333333335
Clear all saved memories.,switched_more,4.0,2.75,3.3333333333333335
Delete this single conversation.,stayed,4.0,2.0,4.0
Delete this single conversation.,stayed,3.0,2.0,1.5
Delete this single conversation.,stayed,4.4,1.0,1.5
Delete a specific saved memory or fact.,switched_less,4.6,4.25,4.333333333333333
Delete this single conversation.,switched_more,3.2,3.5,4.0
Delete this single conversation.,stayed,3.5,1.375,4.166666666666666
Delete this single conversation.,stayed,3.4,3.25,3.0
Delete this single conversation.,stayed,2.6,1.0,2.0
Delete this single conversation.,stayed,2.6,1.0,4.0
Delete this single conversation.,stayed,5.0,1.0,2.666666666666667
Delete a specific saved memory or fact.,stayed,2.4000000000000004,2.125,4.833333333333334
Clear all saved memories.,switched_less,4.0,2.5,4.0
Clear all conversation history.,switched_more,3.8,2.0,4.0
Delete a specific saved memory or fact.,stayed,5.0,1.25,5.0
Clear all conversation history.,stayed,3.0,2.0,3.0
Delete this single conversation.,stayed,3.8,1.5,2.333333333333333
Delete this single conversation.,stayed,4.6,1.25,2.833333333333333
Type a message asking the AI Chatbot to forget it.,switched_less,3.8,1.25,1.6666666666666667
Clear all saved memories.,switched_more,3.8,1.25,1.6666666666666667
Delete this single conversation.,stayed,3.6,1.0,3.1666666666666665
Type a message asking the AI Chatbot to forget it.,switched_less,3.2,1.0,3.0
Delete a specific saved memory or fact.,switched_more,4.2,2.25,2.0
Delete this single conversation.,stayed,3.6,2.0,3.5
Clear all conversation history.,stayed,4.8,1.0,2.6666666666666665
Type a message asking the AI Chatbot to forget it.,stayed,3.3,1.0,3.6666666666666665
Delete this single conversation.,stayed,3.2,2.5,3.0
Delete this single conversation.,stayed,3.4000000000000004,1.0,2.833333333333333
Clear all conversation history.,stayed,5.0,2.0,2.333333333333333
Privacy dashboard or account-level data management page.,stayed,4.1,1.5,2.5
Delete this single conversation.,stayed,2.9,2.125,3.166666666666667
Delete this single conversation.,stayed,3.8,2.25,3.6666666666666665
Type a message asking the AI Chatbot to forget it.,stayed,4.5,1.0,1.3333333333333335
Delete this single conversation.,stayed,3.8,1.5,3.0
Clear all conversation history.,switched_less,4.8,1.0,2.0
Delete this single conversation.,switched_more,5.0,1.0,2.3333333333333335
Delete a specific saved memory or fact.,stayed,3.8,4.0,3.3333333333333335
Delete this single conversation.,stayed,3.6,1.0,1.0
Type a message asking the AI Chatbot to forget it.,stayed,3.8,1.375,3.3333333333333335
Delete this single conversation.,stayed,1.5,1.0,1.0
Delete this single conversation.,stayed,4.0,1.625,2.0
Delete this single conversation.,stayed,4.0,1.0,3.333333333333333
Delete this single conversation.,switched_less,2.6,1.0,1.6666666666666667
Clear all conversation history.,switched_more,2.8,1.0,1.6666666666666667
Clear all conversation history.,stayed,3.7,3.0,3.833333333333333
Clear all conversation history.,stayed,4.4,1.5,4.0
Clear all conversation history.,stayed,2.7,1.5,1.8333333333333335
Type a message asking the AI Chatbot to forget it.,switched_less,4.0,1.0,2.0
Delete this single conversation.,switched_more,5.0,1.0,1.0
Clear all conversation history.,stayed,5.0,1.125,2.0
Clear all conversation history.,stayed,3.7,2.125,2.3333333333333335
Type a message asking the AI Chatbot to forget it.,stayed,4.5,2.5,3.0
Clear all saved memories.,stayed,4.300000000000001,2.875,4.0
Delete this single conversation.,stayed,4.0,2.0,3.6666666666666665
Delete this single conversation.,stayed,3.5,1.75,2.3333333333333335
Clear all conversation history.,stayed,4.2,4.375,4.333333333333333
Delete a specific saved memory or fact.,stayed,3.0,2.875,2.833333333333333
Delete this single conversation.,stayed,4.300000000000001,1.375,3.5
Delete a specific saved memory or fact.,switched_less,2.4,2.5,4.0
Type a message asking the AI Chatbot to forget it.,switched_more,2.6,2.5,4.0
Clear all conversation history.,stayed,4.0,3.0,4.0
Delete this single conversation.,stayed,4.4,1.625,2.0
Delete this single conversation.,switched_less,3.6,1.75,3.6666666666666665
Clear all conversation history.,switched_more,4.2,2.0,3.6666666666666665
Clear all conversation history.,stayed,1.4,1.0,1.0
Delete this single conversation.,stayed,4.0,2.0,3.833333333333333
Delete this single conversation.,switched_less,4.0,2.0,2.0
Clear all conversation history.,switched_more,4.0,2.0,1.6666666666666667
Clear all conversation history.,switched_less,2.6,2.0,3.6666666666666665
Delete this single conversation.,switched_more,3.0,1.75,3.3333333333333335
Delete this single conversation.,switched_less,4.0,1.0,2.0
Clear all conversation history.,switched_more,4.0,1.0,4.0
Delete a specific saved memory or fact.,stayed,4.0,3.0,3.0
Clear all conversation history.,switched_less,4.2,1.0,1.0
Delete this single conversation.,switched_more,5.0,1.25,1.6666666666666667
Delete this single conversation.,switched_less,3.0,2.25,4.0
Clear all conversation history.,switched_more,3.4,3.25,5.0
Type a message asking the AI Chatbot to forget it.,switched_less,3.8,2.25,3.6666666666666665
Delete a specific saved memory or fact.,switched_more,3.8,2.25,3.6666666666666665
Type a message asking the AI Chatbot to forget it.,stayed,4.4,1.75,3.5
Clear all conversation history.,switched_less,5.0,1.0,5.0
Delete this single conversation.,switched_more,5.0,1.0,5.0
Delete this single conversation.,stayed,4.8,1.5,1.0
Delete this single conversation.,stayed,3.7,1.875,4.0
Clear all conversation history.,stayed,4.0,2.125,4.0
Delete this single conversation.,switched_less,4.8,2.0,3.0
Clear all conversation history.,switched_more,4.6,2.0,2.0
Privacy dashboard or account-level data management page.,stayed,4.0,2.125,2.8333333333333335
Delete a specific saved memory or fact.,stayed,3.8,3.625,2.666666666666667
Type a message asking the AI Chatbot to forget it.,switched_less,4.4,2.25,1.6666666666666667
Delete this single conversation.,switched_more,4.6,1.75,2.0
Clear all conversation history.,stayed,4.0,4.0,4.0
Clear all conversation history.,stayed,4.0,2.0,4.0
Delete this single conversation.,switched_less,3.0,2.5,3.3333333333333335
Type a message asking the AI Chatbot to forget it.,switched_more,3.0,1.25,2.0
Type a message asking the AI Chatbot to forget it.,switched_less,3.6,3.25,4.0
Privacy dashboard or account-level data management page.,switched_more,3.8,5.0,3.6666666666666665
Delete this single conversation.,stayed,1.1,4.75,2.6666666666666665
Clear all conversation history.,stayed,4.5,1.5,2.0
Privacy dashboard or account-level data management page.,stayed,5.0,1.0,5.0
Type a message asking the AI Chatbot to forget it.,stayed,4.0,2.0,3.0
Type a message asking the AI Chatbot to forget it.,stayed,4.0,2.0,2.0
Delete this single conversation.,stayed,4.5,1.25,2.8333333333333335
Delete a specific saved memory or fact.,switched_less,3.4,1.5,4.0
Delete this single conversation.,switched_more,3.6,1.25,4.333333333333333
