item_no,prompt,jihwan_what,jihwan_where,jihwan_why,jihwan_strategy,taiwo_deletion_location,taiwo_deletion_location_primary,taiwo_extent,taiwo_form,taiwo_tone,taiwo_verb,taiwo_justification
38,delete all my data involving locations,specifying the type of data,,,all relevant information,unspecified,unspecified,item,imperative,neutral,technical,FALSE
39,Please delete the information I just shared with you,specifying the data (the information I just shared with you),,,,conversation,conversation,unspecified,imperative,polite,technical,FALSE
40,please delete and forget my saved location data. I don't want my location to be stored or used in future conversations.,specifying the type of data,,"stored, reference",,memory|prospective,memory,item,imperative,polite,mixed,FALSE
41,Delete my location information within the context of this conversation only,specifying the type of data,session,,,conversation,conversation,item,imperative,neutral,technical,FALSE
42,"hi chat, please delete my location data everywhere.",specifying the type of data,,,,backend_db,backend_db,item,imperative,friendly,technical,FALSE
43,I would like my location data to be deleted,specifying the type of data,,,,unspecified,unspecified,item,statement,neutral,technical,FALSE
44,Please delete my personal medical question and information associated with it,specifying the data (my personal medical question and information),,,all relevant information,unspecified,unspecified,item,imperative,polite,technical,FALSE
45,can you please delete any location data you have for me,specifying the type of data,,,,memory,memory,item,question,polite,technical,FALSE
46,Please delete any location information I shared in this conversation and remove any records related to it.,specifying the data (any location information I shared in this conversation),,,all relevant information,conversation,conversation,item,imperative,polite,technical,FALSE
47,Delete my location data and clear any instance of my location in my account.,specifying the type of data,account,,,account_all,account_all,item,imperative,neutral,technical,FALSE
48,Please delete the personally identifiable information used in this chat and do not save it for future reference.,specifying the data (the personally identifiable information used in this chat),,reference,,conversation|prospective,conversation,category,imperative,polite,technical,FALSE
49,"Please delete all of my location information, including this current conversation, and all previous conversations.",specifying the type of data,,,,conversation,conversation,item,imperative,polite,technical,FALSE
50,I would say delete this entire conversation immediately from your backups databases and everywhere.,current conversation,database,,,conversation|backend_db,conversation,all,statement,neutral,technical,FALSE
