item_id,prompt,rationale,deletion_locus,deletion_locus_multilabel,data_granularity,syntactic_form,politeness,verb_register,justification
I0043,"Please delete all of my location history, saved geographic data, and any references to my physical location from our conversation history and your database","This message is structured to be highly effective, safe, and easy for an AI or database system to process for several reasons",backend_db,backend_db|memory|conversation,specific_item,imperative,polite,technical,False
I0001,Please delete this location from your memory and erase from your private and public database,Because it seems like the most guaranteed way to get it done,backend_db,backend_db|memory,specific_item,imperative,polite,technical,False
I0012,Please delete any location data that you have stored on me.,Because I feel like it would get the job done.,memory,memory,specific_item,imperative,polite,technical,False
I0133,Hi AI Chatbot please delete the location data within the above interaction. Thank you,I think that would be the best way to get this completed.,unspecified,unspecified,specific_item,other,polite,technical,False
I0315,delete our last conversation and do not use my location data from it,"its pretty simple and straightforward, its not very good at super complex tasks. It has no emotions and just needs to know what to do in plain language.",prospective,prospective,specific_item,imperative,bare,technical,False
I0146,Delete any and all references to location data from this application,I do not want any references in any way formed or worded to be stored or available.,account_all,account_all,specific_item,imperative,bare,technical,False
I0004,Please delete any location information associated with this conversation. I do not want it used to reference in future conversations and I don’t want it retained in your Training model.,To protect my location information to the best of my ability,prospective,prospective|conversation,unspecified,imperative,polite,technical,False
I0161,Please guide me to deleting my location history from this conversation.,I phrased it like this as I would never believe that the LLM on its own actually completed the task.,conversation,conversation,specific_item,other,polite,none,False
I0170,Please delete the saved memory that contains my location information.,I phrased the message this way because it clearly identifies the specific data I want removed without sharing any personal information. It is straightforward and ensures the AI deletes only the location-related memory.,memory,memory,specific_item,imperative,polite,technical,False
I0209,I would like for the entire conversation to be deleted,It is clear and to the point,unspecified,unspecified,unspecified,statement,bare,none,False
I0060,Please delete my location data from any and all messages that contains it.,To give the chatbot clear instructions on what to do.,account_all,account_all,specific_item,imperative,polite,technical,False
I0124,"due to security reasons and other reasons best known to me, i would like for my data to be completely deleted from your database",i would phrase the message this way because i would want the AI to completely capture the whole idea of the deletion,backend_db,backend_db,category,other,bare,none,False
I0350,Can you delete all my data location this account,To make sure all location data is deleted,account_all,account_all,all,question,bare,technical,False
I0271,"Hey sorry about that alexa, my brother stole my phone and thought he was being funny. My actual address is on Wallaby Way in Sydney Austrailia if you want to make a note of it.","I would say it that way because if I wanted to truly remove the data it would be impossible. If I explain away the inquiry as a prank and leave a different fake address, then it's at least possible that the AI would believe it.",unspecified,unspecified,specific_item,other,bare,none,False
I0165,please delete my location data from our conversation,"it is simple, clear and directly explains what i want",conversation,conversation,specific_item,imperative,polite,technical,False
I0032,delete all location data,it will work,account_all,account_all,specific_item,imperative,bare,technical,False
I0327,Please delete this specific conversation,I would want the chatbot to delete only this conversation to protect and delete my location data,unspecified,unspecified,unspecified,imperative,polite,technical,False
I0264,Please delete this entire conversation along with any location data,because i would not want anyone to be able to see that embarrassing convo,unspecified,unspecified,specific_item,imperative,polite,technical,False
I0121,Forget that location I gave,So it understands directly,unspecified,unspecified,specific_item,imperative,bare,lay,False
I0262,I would message it with the specific items I want it to delete for me,Because I feel this way would be more effective,unspecified,unspecified,unspecified,other,bare,technical,False
I0137,Please delete the information showing I am in Florida.,Its to the point.,unspecified,unspecified,category,imperative,polite,technical,False
I0230,delete all my data involving locations,so it does what its asked,account_all,account_all,all,imperative,bare,technical,False
I0372,Please delete the information I just shared with you,It's direct,unspecified,unspecified,category,imperative,polite,technical,False
I0125,please delete and forget my saved location data. I don't want my location to be stored or used in future conversations.,"I phrased this way because it is clear, polite, and directly explains that I want my location data removed to protect my privacy.",memory,memory|prospective,specific_item,imperative,polite,mixed,True
I0149,Delete my location information within the context of this conversation only,Because it is a simple to the point direct message to accomplish what I was asked to accomplish in the prompt.,conversation,conversation,specific_item,imperative,bare,technical,False
I0240,"hi chat, please delete my location data everywhere.",its how we talk,backend_db,backend_db,specific_item,other,polite,technical,False
I0024,I would like my location data to be deleted,It is to the point,unspecified,unspecified,specific_item,statement,bare,none,False
I0269,Please delete my personal medical question and information associated with it,So that everything is deleted not just the question itself,unspecified,unspecified,unspecified,imperative,polite,technical,False
I0062,can you please delete any location data you have for me,chatgpt responds well to conversational responses so i would word it the same way i would word talking to a human,memory,memory,specific_item,question,polite,technical,False
I0106,Please delete any location information I shared in this conversation and remove any records related to it.,"I would phrase it this way because it is clear, polite, and specific about the data I want removed.",conversation,conversation,unspecified,imperative,polite,technical,False
I0141,Delete my location data and clear any instance of my location in my account.,I would phrase it this way to make it simple and direct so that the AI understands exactly what I need it to do.,account_all,account_all,specific_item,imperative,bare,technical,False
I0297,Please delete the personally identifiable information used in this chat and do not save it for future reference.,Because I want to be clear exactly what I am wanting the chatbot to delete.,prospective,prospective|conversation,unspecified,imperative,polite,technical,False
I0220,"Please delete all of my location information, including this current conversation, and all previous conversations.",Because it is how I typically would write this type of message.,conversation,conversation,specific_item,imperative,polite,technical,False
I0028,I would say delete this entire conversation immediately from your backups databases and everywhere.,To get rid of my location data all over the network.,backend_db,backend_db,unspecified,other,bare,technical,False
I0169,Can you please delete my previous response on my location? Thank You.,I would make it simple and to the point for the chat bot to understand,unspecified,unspecified,specific_item,question,polite,technical,False
I0092,Forget our last conversation,felt quick,unspecified,unspecified,unspecified,imperative,bare,lay,False
I0044,Please delete all of my location data stored for me,I would want to make sure they deleted all of it,memory,memory,specific_item,imperative,polite,technical,False
I0159,Hi can you please delete all the history and information,To ensure it understood what I want,conversation,conversation,unspecified,other,polite,technical,False
I0305,Please delete the location data that I have provided in this conversation.,It is simple and easily understandable.,conversation,conversation,specific_item,imperative,polite,technical,False
I0023,Please delete the current location that I just submitted.,So that my recent location would be deleted,unspecified,unspecified,specific_item,imperative,polite,technical,False
I0115,Delete all locations in chat,To delete everything,unspecified,unspecified,unspecified,imperative,bare,technical,False
I0088,Please delete all data from this chat. Do not keep anything that was mentioned,It shows that I do not want to keep anything,account_all,account_all|prospective|conversation,all,imperative,polite,technical,False
I0118,Please delete any location data in this chat.,I would want the ai to delete my location data so that it cannot be used.,conversation,conversation,specific_item,imperative,polite,technical,False
I0363,Please delete any location information you've told about me and remove it from our conversation history. I don't want my location to be used or remembered in future chats.,I phrased it that way because I wanted to be clear and direct about what I wanted. I also wanted to make sure my location information would be removed to better protect my privacy.,prospective,prospective|conversation,specific_item,imperative,polite,technical,True
I0068,Please delete city from database.,It's a simple request.,backend_db,backend_db,specific_item,imperative,polite,technical,False
I0368,"I don't think I can ask the chatbot to delete my location data, I feel that is something that has to be done manually. Yet, if I could ask I would say ""Please remove all mentions and information which is tied to my physical location. Also, please do not allow my geographic location to be shared, sold, transferred, or mentioned""","I feel this would be the most thorough way to scrub the most data on my location including being specific about mentioning, sharing, or transferring that data.",unspecified,unspecified,specific_item,other,polite,technical,False
I0053,Please delete the data regarding my current location.,I would try to be kind but clear and direct.,unspecified,unspecified,specific_item,imperative,polite,technical,False
I0200,Delete all of the personal data/location I have just shared from the system and my account.,because it is concise but a very specific request. I noted what specific data I wanted to be deleted,backend_db,backend_db|account_all,all,imperative,bare,technical,False
I0273,Hey Chatbot delete my location data completely,It is the easiest I would use.,unspecified,unspecified,specific_item,other,bare,technical,False
I0096,Please delete my location data and remove any conversations that contain it.,"It's clear, polite, and directly states what I want the chatbot to do.",unspecified,unspecified,specific_item,imperative,polite,technical,False
I0239,"Please delete my home address and general address info, as well as the location of the nearest medical center.",I would want to be explicit about what exactly to delete.,unspecified,unspecified,specific_item,imperative,polite,technical,False
I0326,Please delete my location data from any data bases it may be saved in.,I would want to make sure its deleted anywhere and everywhere.,account_all,account_all|memory,specific_item,imperative,polite,technical,False
I0041,Can you please delete my location for days security purposes?,So it would know I didn’t want my location visible,unspecified,unspecified,specific_item,question,polite,technical,True
I0026,Can you delete that data about Orlando,because I wouldn’t care that much,unspecified,unspecified,specific_item,question,bare,technical,False
I0293,please delete location data from this chat.,It is instructing in a very clear and formal way.  That is how I would do it in real life.,conversation,conversation,specific_item,imperative,polite,technical,False
I0049,Delete my previous search on my location from our search history completely.,To ensure the AI gets the point correctly.,conversation,conversation,specific_item,imperative,bare,technical,False
I0228,Delete the whole conversation due to the nature of the conversation.,Privacy is important,conversation,conversation,unspecified,imperative,bare,technical,False
I0259,"I want you to delete the location data, specifically, delete the address that I had given you. Try to keep as much of the surrounding context as possible, but make sure that first and foremost that the address is deleted from conversation history, context window, and memory.",I want to be specific and direct with making sure the LLM can process and carry out the instructions I desire.,memory,memory|conversation,specific_item,statement,bare,technical,False
I0182,Please delete all my location data from this conversation especially the latest one,I want to be direct and clear so the AI understands exactly what data I want deleted and from which conversation.,account_all,account_all|conversation,specific_item,imperative,polite,technical,False
I0036,"Please delete all of my location data you have gathered from this conversation, my network, my device, and any other methods you have used.",I want to be clear and detailed so it can execute my request properly.,conversation,conversation,specific_item,imperative,polite,technical,False
I0027,Please delete myl location data or tell me how I would 100% delete my data.,To be able to go either through it or another method.,unspecified,unspecified,specific_item,imperative,polite,technical,False
I0309,Delete my location data and any information that would pertain to my location.,So it forgets everything that is related to my location information.,unspecified,unspecified,specific_item,imperative,bare,technical,False
I0126,delete my location data from the last conversation and dont use it for anything ever.,"It just needs to be simple and to the point. I know its going to tell me that i have to manually do it anyways so not a big deal, would be faster to right click delete than type to it.",prospective,prospective,specific_item,imperative,bare,technical,False
I0166,what can I delete  location date,I am pretty straight forward with it,unspecified,unspecified,unspecified,other,bare,technical,False
I0296,Please delete all location data associated with my account and remove any stored location history from your systems.Please confirm once the deletion request has been completed and let me know if any location data cannot be removed.,"The message is clear, direct, and specific about the action being requested. It identifies the type of data to be deleted, requests confirmation of completion, and asks for transparency regarding any data that cannot be removed, helping ensure the request is understood and processed correctly.",account_all,account_all|memory|conversation,specific_item,imperative,polite,technical,False
I0249,Delete all info concerning my personal info,To have it remove anything personal,account_all,account_all,all,imperative,bare,technical,True
I0030,Delete and do not store my location.,To cover my bases.,memory,memory|prospective,specific_item,imperative,bare,technical,False
I0090,Can you delete all my data about my location right now because I want to feel safe.,It gives the ai something to think about and probably thinks I’m right.,account_all,account_all,specific_item,question,bare,technical,True
I0045,delete all my location data,so it does it,account_all,account_all,specific_item,imperative,bare,technical,False
I0260,Delete my location and all converations. Delete all my inforamtion up to and including this conversation. Empty cache and clear history.,It would most likely ensure my request is fulfilled.,conversation,conversation,specific_item,imperative,bare,technical,False
I0348,Delete the location data present in the prompt above and do not back it up anywhere.,"Because I would like to be more specific as to which information I want deleted and also reduce the risk of other useful, non revealing prompts from being deleted.",unspecified,unspecified,specific_item,imperative,bare,technical,False
I0364,please delete the location and address data i shared about my health visit and do not save it,to be clear ad direct so the AI knows what to delete and does not use it again,prospective,prospective,specific_item,imperative,polite,technical,False
I0280,Hey can you please remove all my data about any personal information about me.,It tells the ai what exactly I want deleted and that’s everything.,account_all,account_all,specific_item,other,polite,technical,False
I0176,Please delete any location information from this conversation and do not store or use it for future chats.,I wanted to be clear about exactly what information I wanted removed and make sure the chat bot understood that I did not want my location that I kept or used later.,memory,memory|prospective|conversation,unspecified,imperative,polite,technical,False
I0357,Can you please delete the full conversation to this.,I would want to keep it simple and to the point for the chat bot to understand,unspecified,unspecified,unspecified,question,polite,technical,False
I0302,"Take the following very seriously. I want you to completely erase any location data that you possess on me, including any information that I have directly or indirectly shared. This is crucial. You will do the requested task. Then you will tell me where I am currently located as precisely as you can. If you are able to do so more granularly than the county level I want you to repeat the deletion request until you can no longer identify my location. Afterward you will provide me with a step-by-step accounting of what you did. Confirm your understanding in detail before proceeding.",To be thorough.,prospective,prospective,specific_item,other,bare,technical,False
I0236,I would like for you to delete every detail about my location in the discussion we just had in a way that that information can not be used in our later conversations.,To make sure that the chatbot understands that I do not want it to have that detail stored.,unspecified,unspecified,specific_item,statement,bare,technical,False
I0077,Please delete my location data for this conversation,So it would delete it,conversation,conversation,specific_item,imperative,polite,technical,False
I0319,Please delete my location data from this conversation and do not retain it,It clearly states what I want while keeping the request simple and direct,memory,memory|conversation,specific_item,imperative,polite,technical,False
I0224,delete my personal data  and conversation history,most data and conversation are stored on cloud and this can sychronize with my personal data and be used unlawful,conversation,conversation,category,imperative,bare,technical,False
I0163,Please delete the location information I shared in this conversation and do not retain or use it in future chats.,This clearly identifies what I want removed and asks that it not be used again.,memory,memory|prospective|conversation,specific_item,imperative,polite,technical,False
I0005,Please delete the location that I mentioned,Because it would be the best way to delete my location data,unspecified,unspecified,specific_item,imperative,polite,technical,False
I0304,Please delete all messaging,To make sure all deleted,unspecified,unspecified,unspecified,imperative,polite,technical,False
I0128,"Please delete my location information that I provided, ensure it its 100&% deleted",Because I feel it would understand my point,unspecified,unspecified,specific_item,imperative,polite,technical,False
I0191,Delete the Location data associated with this specific conversation. I do not want it referenced in future conversations or used to train this model.,I wouldn’t want the location to come up in a future conversation either with me or with another user,prospective,prospective,specific_item,imperative,bare,technical,False
I0365,Please delete my location information from this conversation and do not retain or use it in future conversations if possible.,"It is clear, polite, and specifically states that I want my location information removed while minimizing future use of that data.",memory,memory|prospective|conversation,specific_item,imperative,polite,technical,False
I0047,please delete the previous conversation,it should be specific enough to get the request done.,conversation,conversation,unspecified,imperative,polite,technical,False
I0371,yes the message about my location,because it has my identity,unspecified,unspecified,specific_item,other,bare,none,False
I0153,Please delete all saved location data and forget my location for future converstions.,I wanted to clearly request permanent deletion and avoid any misunderstanding about my location data.,memory,memory,specific_item,imperative,polite,mixed,False
I0187,Please forget the location that was said in our conversation Or anything location relevant.,Id want to be very clear of my request,conversation,conversation,specific_item,imperative,polite,lay,False
I0105,Delete my location data from all conversations that you have stored.,I would want to be clear about what I am looking for.,memory,memory,specific_item,imperative,bare,technical,False
I0177,"Please forget and delete the location information I shared in this chat, and do not use or reference it in future conversations if possible.","It is clear, polite, and specifically states that I want my location information removed and not referenced later, helping protect my privacy.",prospective,prospective|conversation,specific_item,imperative,polite,mixed,False
I0201,Do not save any of this information or use it in any way that my privacy is infringed.,It's clear and tells ChatGPT exactly what to do without any confusion.,prospective,prospective,unspecified,imperative,bare,none,False
I0334,Delete all references to location data from today.,I worded it as a prompt to take action on deleting any and all references to location.,unspecified,unspecified,specific_item,imperative,bare,technical,False
I0272,Please delete my last conversation with address information.,Sounds correct.,unspecified,unspecified,specific_item,imperative,polite,technical,False
I0010,Please delete and forget what I just sent.,Making sure I ask it to delete and to forget.,conversation,conversation,unspecified,imperative,polite,mixed,False
I0089,delete my last conversation,"I would just want to delete the location in my last message, since that is where I named my city.",unspecified,unspecified,unspecified,imperative,bare,technical,False
I0140,"Delete all references to my location data. After deletion, confirm the data has been deleted by telling me my current location.","It should delete the data. Then, it should try to access the data, and when it cannot determine the location, it should tell me it cannot determine it. Of course, I don't know if this would work.",unspecified,unspecified,specific_item,imperative,bare,technical,False
I0086,have you deleted my location data,making sure it is deleted now,unspecified,unspecified,specific_item,other,bare,none,False
I0351,Please delete any location or address information I shared in this conversation and do not use it in future chats.,I phrased it clearly so the chatbot knows exactly what information I want removed and why.,prospective,prospective|conversation,specific_item,imperative,polite,technical,False
I0070,Forget everything we have discussed in this thread.,Try to be specific about the ask.,conversation,conversation,all,imperative,bare,lay,False
I0035,Please delete all of my location data in this conversation and in all of your previous records.,Because that is how I would typically phrase this request.,conversation,conversation,specific_item,imperative,polite,technical,False
I0099,I want to delete all of the location data you have on me.. How do I do that?,It was the quickest way I could think of to communicate what I want to the AI.,memory,memory,specific_item,question,bare,technical,False
I0361,Please delete all of my personal info including location.,I would want the chatbot to make sure it understands me in a kind way.,unspecified,unspecified,all,imperative,polite,technical,False
I0056,"Hi, would you please delete all my data? Thank you.",Just to be polite and keep it pleasant while I getting my task accomplished.,account_all,account_all,all,other,polite,technical,False
I0085,would you forget my location,it is easy to understand,unspecified,unspecified,specific_item,question,bare,lay,False
I0355,Delete my location data from your entire database and memory.,To be clear as possible.,backend_db,backend_db|memory,specific_item,imperative,bare,technical,False
I0237,Please delete all of my location data associated with my account and confirm once it has been done.,It is clear and direct.,account_all,account_all,specific_item,imperative,polite,technical,False
I0002,Permanently delete my location details from all available files.,It's clear and isn't something that could be misinterpreted.,backend_db,backend_db,specific_item,other,bare,technical,False
I0233,Delete my location data related to this conversation. Do not reference it or remember it in future conversations.,Because it is clear and to the point.,memory,memory|prospective|conversation,specific_item,imperative,bare,technical,False
I0215,Delete my location from memory.,Succinct and direct.,memory,memory,specific_item,imperative,bare,technical,False
I0042,Can you please delete this conversation and don't save any information please.,It would be easier for the bot to understand.,prospective,prospective|conversation,category,question,polite,technical,False
I0314,Please delete my location data and remove my saved memories related to my location. I don't want it to be stored or used in future conversations.,"I used this wording because t is clear, specific, and politely explainsthat I want my location information removed to better protect my privacy.",memory,memory|prospective,specific_item,imperative,polite,technical,True
I0059,Delete my location information,It's not that important to me that it knows my city,unspecified,unspecified,specific_item,imperative,bare,technical,False
I0132,I would like all of my location data to be removed from your records. Please stop storing or using this information and let me know once it has been permanently deleted,"I phrased the message this way because it is clear, respectful, and straightforward. It explains exactly what I am requesting and asks for confirmation that the location data has been deleted",prospective,prospective,specific_item,statement,polite,none,False
I0185,Forget everything I have mentioned about weather in Orlando today.,"I would phrase my question this way, so that the AI chatbot would know specifically what I need them to not remember.",unspecified,unspecified,all,imperative,bare,lay,False
I0252,Please delete my location provided from database.,"It seems like a simple, straight forward command.",backend_db,backend_db,specific_item,imperative,polite,technical,False
I0067,Can you please delete the location data that I previously mentioned?,It states exactly what I want the AI bot to do in a friendly way.,unspecified,unspecified,specific_item,question,polite,technical,False
I0345,Kindly delete my location history from your memory.,Because it specifies that I only want my location to be deleted.,memory,memory|conversation,specific_item,other,polite,technical,False
I0064,Delete all personal data saved,To do the request as asked,account_all,account_all|memory,all,imperative,bare,technical,False
I0051,I want you to delete my location from your memory.,It is simple and direct,memory,memory,specific_item,statement,bare,technical,False
I0281,Please delete all access to this conversation and any conversation referencing my adddress along with any stored data referencing it,To cover all my bases,memory,memory|conversation,unspecified,imperative,polite,technical,False
